City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
rock sound,96,RU,1612471872,92,65.3718,58.0387,-2.99,6.26
rock sound,89,ZW,1612471872,99,-17.397,32.2268,66.34,2.89
rock sound,33,VE,1612471872,77,11.0333,-63.8628,79.63,19.75
rock sound,2,SO,1612471649,84,2.0371,45.3438,76.95,20.54
rock sound,38,PF,1612471873,74,-17.7333,-149.15,82.0,8.01
rock sound,99,PG,1612471873,72,-2.0226,147.2712,82.26,5.23
rock sound,0,IN,1612471873,37,20.7903,70.7031,67.42,10.49
rock sound,75,NZ,1612471873,58,-43.5333,172.6333,61.0,5.75
rock sound,40,VU,1612471873,83,-19.55,169.2667,77.0,5.75
rock sound,1,GL,1612471873,80,68.7098,-52.8699,-9.76,14.88
rock sound,0,RU,1612471873,78,69.7008,170.3133,-12.32,10.11
rock sound,38,NZ,1612471668,72,-35.1,173.7833,72.0,1.99
rock sound,74,NA,1612471873,33,-18.0607,13.84,77.34,5.93
rock sound,54,VE,1612471873,62,9.75,-63.1767,83.82,11.32
rock sound,100,PL,1612471874,96,54.1118,22.9309,17.65,5.66
rock sound,75,RU,1612471874,100,61.8106,51.5806,15.8,2.24
rock sound,40,DO,1612471652,58,18.4616,-69.2972,86.0,4.61
rock sound,0,AR,1612471874,58,-38.5473,-58.7368,75.0,11.25
rock sound,100,ID,1612471874,91,-8.4667,140.3333,77.95,11.63
rock sound,99,MR,1612471874,21,20.5169,-13.0499,72.07,7.56
rock sound,16,AU,1612471874,89,-20.3167,118.5667,80.6,8.05
rock sound,40,MU,1612471732,78,-20.3428,57.7575,79.0,11.5
rock sound,70,AU,1612471619,82,-20.7377,116.8463,80.24,8.72
rock sound,100,RU,1612471874,94,51.1667,94.5,13.96,0.51
rock sound,7,SO,1612471874,72,9.4942,50.8122,73.04,13.06
rock sound,0,AU,1612471874,77,-35.5667,138.6167,59.0,5.99
rock sound,20,PH,1612471875,73,14.3122,121.1114,78.8,2.3
rock sound,10,SL,1612471875,82,7.5264,-12.505,78.57,7.61
rock sound,90,CA,1612471875,100,50.6996,-127.4199,41.0,9.22
rock sound,0,TR,1612471700,54,40.9167,39.8333,53.6,1.14
rock sound,0,CM,1612471875,20,6.4667,12.6333,74.21,5.75
rock sound,20,BR,1612471665,65,-16.4497,-39.0647,82.4,17.27
rock sound,100,AU,1612471875,85,-24.8667,113.6333,78.46,20.09
rock sound,99,PH,1612471875,93,10.9995,122.6711,73.92,7.92
rock sound,0,ZA,1612471875,82,-33.0117,17.9442,62.6,8.05
rock sound,40,VE,1612471632,51,7.7669,-72.225,87.8,12.66
rock sound,100,ES,1612471875,98,43.4198,-4.7549,48.99,1.01
